1,Asia,20.37,2.72,12.09,14.92,12.41,23.04
2,Europe,35.5,8.47,22.83,29.32,25.82,30.19
3,North America,26.87,4.59,16.43,28.82,14.48,24.63
4,Asia,34.69,7.71,22.04,28.17,33.32,30.72
5,Europe,33.89,11.61,23.45,27.59,30.55,28.86
6,North America,77.75,36.84,58.57,77.44,72.95,104.63
7,Asia,71.04,27.13,50.46,65.88,66.03,77.25
8,Europe,29.73,7.86,19.48,26.57,26.73,27.26
9,North America,84,35.34,61.19,70.59,89.09,45.07
10,Asia,54.77,29.22,42.79,44.59,48.94,61.41
11,Europe,33.13,4.42,19.67,30.41,21.7,25.3
12,North America,92.37,21.99,59.38,87.81,78.18,32.08
13,Asia,30.89,9.81,21.01,27.24,31.64,31.78
14,Europe,72.61,25.79,50.67,63.32,78.63,79.72
15,North America,51.3,11.64,32.71,48.76,36.6,45.73
16,Asia,146.04,98.58,123.8,148.66,159.17,81.07
17,Europe,34.77,10.18,23.24,31.26,24.97,36.04
18,North America,36.12,6.82,22.39,31.14,25.34,44.1
19,Asia,40.17,10.21,26.12,35.16,42.5,62.63
20,Europe,33.24,8.27,21.54,28.16,25.24,27.85
21,North America,38.38,9.07,24.64,34.02,32.44,45.96
22,Asia,49.11,15.68,33.44,50.61,22.9,13.32
23,Europe,39.48,6.91,24.22,40.41,26.33,15.37
24,North America,70.22,34.33,53.4,70.01,67.86,87.98
25,Asia,43.9,13.51,29.66,38.87,43.26,33.27
26,Europe,41.77,16.53,29.93,46.01,28.37,59.99
27,North America,26.72,8.18,18.03,23.47,19.44,28.85
28,Asia,47.01,14.7,31.87,45.54,41.69,39.88
29,Europe,48.94,13.38,32.27,41.98,41.29,47.55
30,North America,55,15.23,36.36,47.93,33.54,1.45
31,Asia,59.03,22.36,41.84,49.2,61.15,57.31
32,Europe,48.24,18.4,34.25,42.76,36.72,66.47
33,North America,84.12,33.23,60.26,68.6,98.75,99.45
34,Asia,41.77,9.59,26.68,38.45,34.3,21.07
35,Europe,37.34,11.28,25.12,34.49,28.55,31.76
36,North America,29.52,5.82,18.41,27.42,23.42,21.54
37,Asia,44.37,13.19,29.75,44.32,35.47,21.17
38,Europe,53.68,16.37,36.19,42.29,56.43,63.46
39,North America,47.49,16.88,33.14,36.68,18.03,10.15
40,Asia,43.16,17.76,31.26,48.06,37.42,35.87
41,Europe,73.2,25.95,51.05,65.16,77.65,91.02
42,North America,74.13,25.33,51.26,73.64,71.84,85.41
43,Asia,30.18,9.26,20.37,26.44,27.88,31.15
44,Europe,65.58,27.62,47.78,52.31,60.91,103.08
45,North America,36.2,19.31,28.28,37.53,30.06,16.82
46,Asia,56.22,12.68,35.81,44.73,52.19,39.73
47,Europe,43.49,15.6,30.42,41.92,32.59,26.35
48,North America,83.59,54.02,69.73,76.76,89.98,71.57
49,Asia,40.46,10.28,26.31,34.73,28.67,32.09
50,Europe,80.71,74.57,77.83,84.72,58.58,65.74
51,North America,40.66,11.91,27.18,35.19,32.82,51.98
52,Asia,94.86,41.93,70.05,90.22,99.42,77.06
53,Europe,24.43,5.3,15.47,26.43,17.56,49.72
54,North America,35.85,9.82,23.65,38.29,17.74,21.07
55,Asia,37.39,17.05,27.85,29.46,25.18,17.98
56,Europe,34.47,10.63,23.29,30.46,28.31,40.92
57,North America,76.05,42.08,60.13,62.1,80.4,82.27
58,Asia,88.05,33.94,62.69,76.72,95.31,75.58
59,Europe,66.47,20.55,44.95,57.95,70.58,61.74
60,North America,47.03,17.68,33.27,40.22,31.99,6.92
61,Asia,49.67,15.1,33.46,53.41,35.04,30.25
62,Europe,77.03,25.86,53.04,81.31,45.4,87.11
63,North America,92.02,65.33,79.51,76.88,94.65,79.14
64,Asia,49.19,9.23,30.46,40.81,41.16,31.34
65,Europe,28.68,9.44,19.66,25.35,27.24,32.23
66,North America,33.92,8.73,22.11,31.27,28.82,32.18
67,Asia,27.05,8.04,18.14,24.84,19.53,43.86
68,Europe,48.68,31.31,40.54,35.63,47.48,78.57
69,North America,48.45,11.77,31.26,38.37,42.1,51.65
70,Asia,69.62,24.81,48.61,66.83,54.25,35.12
71,Europe,48.35,12.89,31.73,54.03,34.1,33.25
72,North America,45.65,15.01,31.29,36.18,46.64,58.74
73,Asia,80.5,60.09,70.93,74.75,88.79,98.84
74,Europe,66.81,43,55.65,67.9,51.32,69.27
75,North America,37.02,9.87,24.29,39.45,20.84,55.3
76,Asia,57.66,30.2,44.78,56.6,34.72,28.59
77,Europe,67.84,29.72,49.97,59.59,72.42,44.18
78,North America,44.08,10.95,28.55,45.61,33.44,29.62
79,Asia,35.35,12.55,24.66,34.82,32.67,38.62
80,Europe,30.35,8.7,20.2,24.96,27.1,33.43
81,North America,34.74,11.22,23.72,36.14,22.8,24.34
82,Antartica,38.95,12.87,26.72,31.76,33.22,34.19
83,Antartica,33.83,8.98,22.18,30.63,24.52,34.36
84,Antartica,35.67,21.18,28.87,37.63,20,13.84
85,Antartica,28.29,3.96,16.89,26.45,20.41,22.96
86,Antartica,75.66,36.06,57.1,65.49,76.35,87.99
87,Antartica,74.52,34.44,55.73,72.04,70.05,83.63
88,Antartica,39.64,8.68,25.13,38.13,27.51,17.63
89,Antartica,30.49,35.99,33.07,33.65,20.92,9.34
90,Antartica,31.38,6.06,19.51,26.95,21.02,35.44
91,Antartica,100.9,34.68,69.86,97.31,105.49,83.11
92,Antartica,49.42,16.77,34.11,46.51,43.24,84.24
93,Antartica,19.92,3.91,12.42,17.81,15.54,26.63
94,Antartica,58.11,11.01,36.03,51.23,44.58,39.84
95,Antartica,51.43,21.75,37.51,52.16,43.38,33.09
96,Antartica,30.2,10.04,20.75,25.45,24.19,26.08
97,Antartica,32.53,11.22,22.54,30.71,21.53,28.17
98,Antartica,37.06,9.59,24.18,37.84,20.61,21.47
99,Antartica,38.95,14.45,27.46,32.42,33.52,59.95
100,Antartica,47.94,20.73,35.19,39.01,40.26,46.8
101,Antartica,66.53,18.4,43.97,69.6,55.6,72.78
102,Antartica,62.81,48.2,55.96,54.97,63.01,93.67
103,Antartica,35.24,10.17,23.49,31.38,30.02,48.12
